OfferDetails,FaceValue,Product
"Save $0.50 on Pine-Sol® Products When you buy ONE (1) Pine-Sol® Product, 40 oz. or Larger, any variety",$0.50,"(0.50, Pine-Sol, 1, 40, Larger)"
"Save $1.00 on BENADRYL® product when you buy ONE (1) BENADRYL®  20ct, 24ct or 4oz product. Excludes topical, trial &amp; travel sizes",$1.00,"(1.00, BENADRYL, 1, BENADRYL, 20ct, 24ct, 4, trial &amp)"
Save $5.00 on Non-Drowsy Claritin® Product When you buy ONE (1) Non-Drowsy Claritin® (24 count or larger),$5.00,"(5.00, Non-Drowsy Claritin, 24)"
Save $8.00 on Non-drowsy Claritin® Liqui-Gels® or Tablets when you buy ONE (1) Non-drowsy Claritin® Liqui-Gels® (60 ct) or Tablets (70 ct or larger),$8.00,"(8.00, Claritin, 1, Claritin, 60, Tablets, 70)"
Save $1.00 on Gardein® When you buy ONE (1) Gardein®  Skillet Meal (20 oz),$1.00,"(1.00, Gardein, 1, Gardein, 20)"
"Save $4.00 on AllerLife When you buy ONE (1) AllerLife, any variety or size",$4.00,"(4.00, AllerLife, 1, AllerLife)"
"Save $1.50 on Paqui Chips Bag When you buy ONE(1) Paqui Chips Bag, any variety (7oz)",$1.50,"(1.50, Paqui Chips Bag, Paqui Chips Bag)"
Save $3.00 on FINISH® QUANTUM™ OR FINISH® Max in 1® when you buy ONE (1) FINISH® QUANTUM™ (50ct) OR FINISH® Max in 1®(63ct),$3.00,"(3.00, Max, 1, ONE, 1, QUANTUM™, 50ct, Max, 1)"
Save $1.00 on Fixodent Adhesive when you buy ONE (1) Fixodent Adhesive (1.4 oz OR larger). Excludes trial/travel size.,$1.00,"(1.00, ONE, 1, 1.4)"
"Save $3.00 on 2 Native Deodorants When you buy TWO (2) Native Deodorants, any variety (2.65oz)",$3.00,"(3.00, 2, TWO, 2, Native Deodorants, 2.65)"
Save $1.00 on Gillette &amp; Venus Disposable Razors When you buy ONE (1) Gillette or Venus Disposable Razor (2CT or larger) (Excludes Treo &amp; Daisy 4CT),$1.00,"(1.00, Gillette &amp, Venus Disposable Razors, ONE, 1, Gillette, Venus Disposable Razor, 2CT, Excludes Treo &amp, 4CT)"
"Save $2.00 on Olay Wipes or Age Defy Cleanser or Masks When you buy ONE (1) Olay Wipes, (25CT OR 66CT) or Age Defy Cleanser or Masks",$2.00,"(2.00, Olay Wipes, Age Defy Cleanser, 1, Olay Wipes, 25CT, 66CT, Age Defy Cleanser)"
"Save $0.70 on Simple Truth Guacamole When you buy ONE (1) Simple Truth Guacamole, any variety (8 OZ)",$0.70,"(0.70, Simple Truth Guacamole, 1)"
Save $15.00 on Oral-B 5000 OR 6000 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B 5000 OR 6000 Rechargeable Electric Toothbrush.,$15.00,"(15.00, ONE, 1)"
Save $5.00 on Oral-B Pro 1000 OR 3000 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Pro 1000 OR Pro 3000 Rechargeable Electric Toothbrush.,$5.00,"(5.00, 3000, Rechargeable Electric Toothbrush, ONE, 1, 3000)"
Save $1.00 on Prilosec OTC Products when you buy ONE (1) Prilosec OTC Product.,$1.00,"(1.00, Prilosec)"
"Save $.50 on LUVS Diapers When you buy ONE (1) LUVS Diapers, Bag (21ct-40ct), any variety or size. Excludes Trial and Travel Size",$.50,"(ONE, 1, Bag, 21ct-40ct)"
"Save $1.00 on Kashi® Cereals When you buy TWO (2) Kashi® Cereals (6.5 oz or Larger, Any Flavor, Mix or Match)",$1.00,"(1.00, Kashi, TWO, 2, Kashi, 6.5, Larger)"
Save $0.75 on Private Selection Buffalo Chicken Dip When you buy ONE (1) Private Selection Buffalo Dip (10 OZ),$0.75,"(0.75, Private Selection Buffalo Chicken Dip, 1, 10)"
Save $10.00 on Crest Whitestrips When you buy ONE (1) participating Crest Whitestrips item.  Excludes Crest Noticeably White Whitestrips.,$10.00,"(10.00, Crest, 1, Crest Whitestrips, Excludes Crest Noticeably, White Whitestrips)"
"Save $2.00 on Yucatan Guacamole Squeeze Product when you buy (1) Yucatan Guacamole Squeeze Product, any variety or size",$2.00,"(2.00, 1)"
"Save $0.75 on Private Selection Cheese Spreads When you buy ONE (1) Private Selection Cheese Spread, any variety (9 OZ)",$0.75,"(0.75, ONE, 1, 9)"
"Save $3.00 on Schick® Razor products When you buy ONE (1) Skintimate® or Schick® Disposable Razor Pack. Excludes Schick® Xtreme3® 1 ct., Schick® Xtreme2® and Skintimate® 2 &amp; 6 ct Disposables",$3.00,"(3.00, Schick, Razor, Schick, Disposable Razor Pack, Schick, Xtreme3, 1, Schick, Xtreme2, Skintimate, 2, 6)"
Save $0.50 on Alocane Burn Gel When you buy ONE (1) Alocane Emergency Burn Gel,$0.50,"(0.50, Alocane Burn Gel, 1)"
Save $.50 on Gillette &amp; Venus Shave Gels When you buy ONE (1) Gillette Proglide Shave Gel (6oz) OR Venus &amp; Olay Shave Gel (6oz) (Excludes all other varieties),$.50,"(Gillette &amp, Venus Shave, ONE, 1, Gillette, Shave Gel, 6oz, Venus &amp, Olay Shave Gel, 6oz)"
"Save $4.00 on  Olay Regenerist Facial Moisturizer When you buy ONE (1) Olay Regenerist Facial Moisturizer, any variety or size",$4.00,"(4.00, ONE, 1, Olay Regenerist Facial Moisturizer)"
"Save $4.00 on SHEBA® Cat Food When you buy ONE (1) SHEBA® Perfect Portions™ Premium Cat Food, any variety  (12ct. Multipack)",$4.00,"(4.00, SHEBA, 1, SHEBA, Premium Cat Food, 12ct)"
"Save $1.50 on Huggies®‎ Little Swimmers®‎ Disposable Swimpants When you buy ONE (1) package of Huggies®‎ Little Swimmers®‎ Disposable Swimpants, any variety (10 ct. or larger)",$1.50,"(1.50, Huggies, Swimmers, Disposable Swimpants, 1, Huggies, Swimmers, Disposable Swimpants, 10)"
"Save $0.50 on IWON Organics Sticks when you buy ONE (1) IWON Organic Stix, any variety (5oz).",$0.50,"(0.50, IWON Organics Sticks)"
"Save $1.25 on 2 Q Mixers When you buy TWO (2) Q Mixers, any variety",$1.25,"(1.25, 2, TWO, 2)"
Save $2.00 on Bissell Clean &amp; Refresh Machine Formula When you buy ONE (1) Bissell Clean &amp; Refresh Machine Formula,$2.00,"(2.00, Bissell Clean &amp, Refresh Machine Formula, 1, Bissell Clean &amp, Refresh Machine Formula)"
Save $3.00 on 2 Head &amp; Shoulders Products when you buy TWO (2) Head &amp; Shoulders Supreme Shampoo or Conditioner Products (9.4-11.8oz). [Excludes trial/travel size].,$3.00,"(3.00, 2, Head &amp, Shoulders Products, TWO, 2, Shoulders Supreme Shampoo, Conditioner Products)"
Save $1.00 on  Sensible Portions Screamin' Hot Veggie Straws when you buy ONE (1) Sensible Portions Screamin' Hot Veggie Straw,$1.00,"(1.00, ONE, 1)"
"Save $1.00 on Vital Proteins Collagen Water OR Collagen Bar when you buy one (1) Vital Proteins Collagen Water OR Collagen Bar, any variety or size",$1.00,"(1.00, Vital Proteins Collagen Water, one, 1)"
Save $0.50 on ZZZQUIL ZzzQuil Products when you buy ONE (1) Vicks ZzzQuil Product. Excludes PURE Zzzs and trial/travel size.,$0.50,"(0.50, ZZZQUIL ZzzQuil Products, ONE, 1, PURE Zzzs)"
Save $1.50 on 2 CLIF Granola when you buy TWO (2) CLIF Granola,$1.50,"(1.50, 2, TWO, 2)"
"Buy 1 Chef's Cut Real Jerky, Get 1 Chef's Cut Jerky Snack Stick Free Buy  ONE (1) Chef's Cut Real Jerky, any variety (2.5oz bag), Get ONE (1) Chef's Cut Jerky Snack Stick, any variety (1oz) Free",,"(1, Chef, Cut Real Jerky, 1, Cut Jerky Snack Stick, 1, Chef, Cut Real Jerky, 2.5oz, 1, Chef, 1)"
Save $3.00 when you buy ONE (1) Mastercard® or Visa® gift card. * Restrictions Apply.  See Store for Details. (redeem 5/20/2020-6/9/2020),$3.00,"(3.00, ONE, 1, Mastercard, Visa, Restrictions Apply, 5/20/2020-6/9/2020)"
"Save $1.00 on 4505 Meats Chicharrones When you buy ONE (1) 4505 Meats Chicharrones, any variety (2.5 oz).",$1.00,"(1.00, 4505, ONE, 1, Meats Chicharrones, 2.5 oz)"
"Save $1 on Slimfast when you buy any ONE (1) Original or Advanced RTD or Powder, any variety or size",$1,"(1, Powder)"
"Save $1.00 on Craisins® item when you buy ONE Craisins® item, any variety (20-24oz)",$1.00,"(1.00, Craisins, ONE)"
"Save $5.00 on Osteo Bi-Flex® Products. when you buy ONE (1) Osteo Bi-Flex® product, any variety (28ct or larger)",$5.00,"(5.00, Osteo Bi-Flex, 1, Osteo Bi-Flex, 28ct)"
"Save $1.50 on 2 Blue Diamond Nut Thins When you buy TWO (2) Blue Diamond Nut Thin Crackers, any variety (4.25 oz)",$1.50,"(1.50, 2, TWO, 2, 4.25)"
"Save $2.00 on ZonePerfect® Keto products when you buy ONE (1) ZonePerfect® Keto Powder, 4-count Shake or 5-count Bar",$2.00,"(2.00, ZonePerfect, 1, ZonePerfect, Keto Powder, Shake)"
Save $4.00 on Schick Men Razors When you buy ONE (1) Schick Hydro® or Schick® Quattro® Titanium* Razor or Refill. Excludes Schick® Disposables and Women's Razor or Refill coated blades,$4.00,"(4.00, ONE, 1, Schick Hydro, Schick, Quattro, Schick, Refill)"
"Save $1.00 on Kodiak Cakes Bear Bites When you buy ONE (1) Kodiak Cakes Bear Bites, any variety or size",$1.00,"(1.00, ONE, 1)"
"Save $5.00 on 1 bag of NUTRO™ WHOLESOME ESSENTIALS™ Cat Food When you buy ONE (1) bag of NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food, any variety or size",$5.00,"(5.00, 1, NUTRO™ WHOLESOME ESSENTIALS, ™ Cat Food, ONE, 1)"
Save $3.00 on Gillette &amp; Venus Blade Refills When you buy ONE (1) Gillette or Venus Blade Refill (4CT or larger) (Excludes Gillette3 4CT &amp; Gillette 5 4CT),$3.00,"(3.00, Gillette &amp, Venus Blade Refills, ONE, 1, Gillette, Venus Blade Refill, 4CT, Gillette, 5 4CT)"
"Buy 1  JUST Water, Get 1 Free Buy ONE (1) JUST Water product, any variety or size, Get your SECOND (2nd) Free",,"(1, 1, 2nd)"
Save $2.00 on Gillette &amp; Venus Razors When you buy ONE (1) Gillette or Venus Razor (excludes Disposable Razors &amp; Mach3 1UP Razor),$2.00,"(2.00, Gillette &amp, Venus Razors, ONE, 1, Gillette, Venus Razor, Disposable Razors &amp, 1UP)"
"Buy 4 Beech-Nut Natural Jars, Get 1 Beech-Nut Natural Pouch FREE Buy FOUR (4) Beech-Nut Natural Jars, any variety or size,Get ONE (1) Beech-Nut Natural Pouch, any variety or size Free.",,"(4, Beech-Nut Natural Jars, 1, Beech-Nut Natural Pouch FREE Buy, 4, Beech-Nut Natural Jars, 1, Beech-Nut Natural Pouch)"
Save $0.50 on CREATIVE ROOTS beverage When you buy ONE (1) CREATIVE ROOTS beverage,$0.50,"(0.50, ONE, 1)"
Save $1.00 on 2 Louis Kemp When you buy TWO (2) Louis Kemp Alaskan Delights (12oz) or Crab Delights (16oz),$1.00,"(1.00, 2, Louis Kemp, TWO, 2, Louis Kemp, 12, Crab Delights, 16)"
Save $0.30 on Simple Truth Organic Snack Crackers When you buy ONE (1) Simple Truth Organic Snack Crackers (8 oz),$0.30,"(0.30, Simple Truth Organic Snack Crackers, 1, 8 oz)"
"Save $0.55 on OFF!® Products when you buy ONE (1) OFF!® Product, any variety. Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products.",$0.55,"(0.55, OFF, ONE, 1, Twin Packs, 2, 2.5oz)"
Save $0.75 on Simple Truth Fig &amp; Thyme Crisp Crackers When you buy ONE (1) Simple Truth Fig &amp; Thyme Crisp Crackers (5.3 oz),$0.75,"(0.75, Simple Truth Fig &amp, Thyme Crisp Crackers, ONE, 1, Simple Truth Fig &amp, Thyme Crisp Crackers, 5.3 oz)"
Save $3.00 on Claritin® Syrup when you buy ONE (1) Non-Drowsy Children's Claritin® Syrup (4oz or larger),$3.00,"(3.00, Claritin, Syrup, 1, Non-Drowsy Children's, Syrup, 4)"
"Save $3.00 on Similac® When you buy ONE (1) Similac®, (1.38 lb. or larger powder)",$3.00,"(3.00, Similac, 1, 1.38)"
"Save $1.00 on Luvo When you buy ONE (1) Performance Kitchen Meal, any variety (8.25 - 10.25 oz).",$1.00,"(1.00, Luvo, 1, Kitchen Meal, 8.25)"
Save 20% off Fresh Cut Lilies When you buy ONE (1) Bunch of Fresh Cut Lilies (any stem count).,,"(20%, Fresh Cut Lilies, ONE, 1)"
"Save $10.00 on 2 Enfamil Powder When you buy TWO units of Enfamil Infant Formula powder, any variety  (19.5 oz or larger)",$10.00,"(10.00, 2, TWO, Enfamil Infant Formula, 19.5)"
"Save $1.00 on Babyganics Sunscreen or Deet Free Bug Spray when you buy ONE (1) Babyganics Sunscreen or Deet Free Bug Spray, any variety",$1.00,"(1.00, Babyganics, Bug Spray, 1, Deet, Bug Spray)"
Save $2.00 on Glucerna® When you buy ONE (1) Glucerna® multi-pack shake,$2.00,"(2.00, Glucerna, 1, Glucerna)"
Save $2.00 on PediaSure® When you buy ONE (1) PediaSure® product,$2.00,"(2.00, PediaSure, 1, PediaSure)"
Save $0.55 on Raid® Products when you buy ONE (1) Raid® Essential Oils Product. Excludes Raid® Club Packs and Twin Packs.,$0.55,"(0.55, Raid, 1, Twin Packs)"
"Save $3.00 on Bare Repulic Products when you buy ONE (1) Bare Republic Sun Product, any variety",$3.00,"(3.00, ONE, 1, Sun Product)"
"Save $1.00 on  2 Cheerwine when you buy Two (2) Cheerwine Glass Packages, any variety (4PK )",$1.00,"(1.00, 2, Two, 2, 4PK)"
"Save $1.00 on MadeGood When you buy ONE (1) MadeGood  Granola Bar or Mini Item, any variety or size",$1.00,"(1.00, MadeGood, 1, MadeGood  Granola Bar, Mini Item)"
"Save $1.50 on Nutiva Red Palm Oil or Shortening when you buy ONE (1) Nutiva Red Palm Oil or Shortening, any variety or size",$1.50,"(1.50, ONE, 1)"
Save $1.00 on Gardein® Ultimate Burger When you buy ONE (1) Gardein® Ultimate Burger Frozen (2 Pack),$1.00,"(1.00, Gardein, 1, Gardein)"
Save $1.00 on Gardein® Breakfast Bowl When you buy any ONE (1) Gardein® Breakfast Bowl (8.5 oz),$1.00,"(1.00, Gardein, 1, Gardein)"
Save $1.50 on VISINE® product when you buy ONE (1) VISINE® product. Excludes trial/travel sizes.,$1.50,"(1.50, VISINE, 1, VISINE)"
"Save $1.00 on YumEarth When you buy ONE (1)  YumEarth Organic Lollipops, Straberry or Black Licorice",$1.00,"(1.00, YumEarth, YumEarth Organic Lollipops)"
"Save $2.00 on Earth's Best Chicken Fries When you buy ONE (1) bag of Earth's Best Chicken Fries, any variety or size",$2.00,"(2.00, Earth, 1, Earth, Best Chicken Fries)"
"Save $1.50 on NUK cups when you buy ONE (1) Nuk Cup item, any variety or size",$1.50,"(1.50, ONE, 1, Nuk Cup)"
Save $2.00 on 2 Head &amp; Shoulders and Pantene Products when you buy TWO (2) Head &amp; Shoulders Royal Oils or Pantene Gold Series Products (2.6-15.2oz). [Excludes trial/travel size].,$2.00,"(2.00, 2, Head &amp, Shoulders, Pantene Products, TWO, 2, Shoulders Royal Oils, 2.6-15.2)"
"Save $1.00 on BodyMark by BIC® Tattoo Marker when you buy ONE (1) BodyMark by BIC® Tattoo Marker, any variety (1-pk)",$1.00,"(1.00, BIC, Tattoo Marker, 1, BIC, Tattoo Marker)"
"Save $3.00 on BodyMark™ by BIC® Tattoo Marker when you buy ONE (1) BodyMark™ by BIC® Tattoo Marker, any variety (3-pk)",$3.00,"(3.00, BIC, Tattoo Marker, 1, ™, BIC, Tattoo Marker)"
"Save $8.00 on 2 Refresh Eye Drops When you buy TWO (2) packages of any Refresh Eye Drop, any variety or size. Excluding Refresh Repair.",$8.00,"(8.00, 2, TWO, 2)"
"Save $5.00 on Systane When you buy ONE (1) Systane ICAP Vitamins, any variety or size",$5.00,"(5.00, Systane, 1, Systane ICAP Vitamins)"
"Save $3.00 on Vital Proteins Powder Canister when you buy ONE (1) Vital Proteins Powder Canister, any variety or size",$3.00,"(3.00, Vital Proteins Powder Canister, ONE, 1)"
"Save $1.00 on Giovanni Eco Chic or 2Chic Shampoo or Conditioner When you buy ONE (1) Giovanni Eco Chic or 2Chic Shampoo or Conditioner, any variety (8.5 oz). Excludes Trial Size.",$1.00,"(1.00, Giovanni Eco Chic, Shampoo, ONE, 1, Giovanni Eco Chic, Shampoo, Conditioner, Trial Size)"
"Save $0.75 on TAJIN Clasico Seasonings When you buy ONE (1) TAJIN Clasico Seasonings, any variety (4.23 oz or larger)",$0.75,"(0.75, ONE, 1, TAJIN Clasico Seasonings, 4.23)"
"Save $5.00 on Nutiva MCT Powder product when you buy ONE (1) Nutiva MCT Powder product, any variety or size",$5.00,"(5.00, Nutiva MCT Powder, 1)"
"Save $2.00 on Simple Truth Mulit-Vitamin Gummies When you buy ONE (1) Simple Truth Multi-Vitamin Gummies or Hair Skin &amp; Nails Gummies, any variety (100 ct)",$2.00,"(2.00, Simple Truth Mulit, 1, Simple Truth Multi, Hair Skin &amp, Nails Gummies, 100)"
"Save  $4.00 on Nutiva MCT Oil Product when you buy ONE (1) Nutiva MCT Oil Product, any variety or size",$4.00,"(4.00, Nutiva MCT Oil Product, 1)"
"Save $0.75 on Simple Truth Organic Spice Rubs When you buy ONE (1) Simple Truth Organic Spice Rubs, any variety (3.5oz)",$0.75,"(0.75, Simple Truth Organic Spice Rubs, 1, 3.5)"
Save $1.00 on Biofreeze product When you buy Biofreeze Pain Relieving Product. Excluding travel sizes.,$1.00,"(1.00, Biofreeze Pain Relieving Product)"
"Earn 2x Fuel Points Download the digital coupon to earn 2x fuel points* when you shop on Thursdays, Fridays, Saturdays and Sundays starting May 21st through June 28th.",,"(2x, Thursdays, Fridays, Saturdays, Sundays, May 21st through June 28th)"
"Save $2.00 on Bronkaid product When you buy any ONE (1) Bronkaid® product, any variety or size",$2.00,"(2.00, Bronkaid, 1, Bronkaid)"
"Save $1.00 on Kellogg's® Jumbo Snax When you buy any ONE (1) Kellogg's® Jumbo Snax (5.4 oz. or Larger, Any Flavor)",$1.00,"(1.00, Kellogg, Snax, 1, Kellogg, Jumbo Snax, 5.4 oz, Larger)"
"Save $5.00 on Non-Drowsy Claritin-D® Products When you buy ONE (1) Non-Drowsy Claritin-D® product, any variety (15 count or larger)",$5.00,"(5.00, Non-Drowsy Claritin-D, 15)"
Save $5.00 on PATADAY® Eye Allergy Itch Relief Drops When you buy ONE (1) PATADAY® Eye Allergy Itch Relief Drops.,$5.00,"(5.00, PATADAY, 1)"
"Save $1.00 on Milton's Gluten Free Cracker When you buy ONE (1) Milton's Gluten Free Crackers, any variety (4.5oz.)",$1.00,"(1.00, Milton, Gluten Free Cracker, ONE, 1, Milton, Gluten Free Crackers, 4.5oz)"
"Save $0.50 on Shredded or Grated Sartori Cheese Deli Bags When you buy ONE (1) Shredded or Grated Sartori Cheese Deli Bag, any variety (8 oz.)",$0.50,"(0.50, ONE, 1)"
"Save $1.00 on Ripple Half &amp; Half product When you buy ONE (1) Ripple Half &amp;Half product, any variety",$1.00,"(1.00, Ripple Half &amp, Half, ONE, 1)"
"Save $0.70 on Simple Truth Hummus When you buy ONE (1) Simple Truth Hummus, any variety (8 OZ)",$0.70,"(0.70, Simple Truth Hummus, 1, Simple Truth Hummus)"
"Save $2.00 on Chock full o' Nuts Coffee When you buy ONE (1) can of Chock full o' Nuts Coffee, any variety (23oz - 26oz)",$2.00,"(2.00, Chock, Chock, 23)"
Save $1.00 on Paper Check Cashing Fee when you cash a tax refund or government paper check at Money Services.,$1.00,"(1.00, Money Services)"
Save $1.00 on Simple Truth Emerge Plant Based Burger Patties When you buy ONE (1) Simple Truth Emerge Plant Based Patties (16 oz.),$1.00,"(1.00, Simple Truth Emerge Plant, Burger Patties, ONE, 1, Simple Truth Emerge Plant Based Patties, 16)"
Save $1.50 on Simple Truth Emerge Plant Based Burger Grinds When you buy ONE (1) Simple Truth Emerge Plant Based Grinds (16 oz.),$1.50,"(1.50, Simple Truth Emerge Plant, 1, Simple Truth Emerge Plant Based Grinds, 16)"
"Save $1.00 on Simple Truth Organic Parmesan Cheese When you buy ONE (1) Simple Truth Organic Parmesan Cheese Wedge, in Specialty Cheese, located in the Deli Dept.",$1.00,"(1.00, Simple Truth Organic Parmesan Cheese, 1, Specialty Cheese, the Deli Dept)"
"Save $5.00 on Refresh Eye Drops When you buy ONE (1) Refresh Relieva or Refresh Optive Mega-3 Eye Drop, any size",$5.00,"(5.00, ONE, 1)"
BUY 2 Buy 2 for $10.00,$10.00,"(2, 2, 10.00)"
Save $2.00 on one (1) 18 lb - 20 lb bag of Purina® Dog Chow® or Purina® Puppy Chow® Dry Food,$2.00,"(2.00, one, 1, 18, 20, Purina, Purina, Chow)"
$1.00 OFF Tropic Sun SunScreen Lotion 6 oz. or Spray 5.5-6 oz. - When you clip the Family Dollar Smart Coupon.,$1.00,"(1.00, OFF Tropic Sun SunScreen Lotion 6, 5.5)"
$1.00 OFF Family Pet Meaty Cuts Dry Dog Food 28 lbs. - When you clip the Family Dollar Smart Coupon.,$1.00,"(1.00,)"
"Save $2.00 off ONE (1) Purex® Liquid 128-150oz.,
or 4-in-1 Pacs (45ct)",$2.00,"(2.00, ONE, 1, Purex, 128, Pacs, 45ct)"
Save $2.00 off ONE (1) all® liquid laundry detergent (88oz.) or mighty pacs® (39ct.),$2.00,"(2.00, ONE, 1, 88, 39ct)"
"Save $1.00 off ONE (1) Snuggle® Liquid Fabric Softener 48.6-50oz., Sheets 105-120 ct. or Scent Shakes™ 9 oz.",$1.00,"(1.00, ONE, 1, Snuggle, Liquid Fabric, 48.6-50, 105, ™ 9 oz)"
"Save $1.00 off ONE (1) all® Liquid 54oz., or mighty pacs® 19ct.",$1.00,"(1.00, ONE, 1, 54, 19ct)"
"Save $1.00 on Huggies Pull-Ups (Size 2T-5T, 17-23ct.), Little Snugglers  &  Little Movers (Size Newborn-6, 16-32 ct.) or GoodNites (S-XL, 11-14 ct.)",$1.00,"(1.00, Huggies Pull-Ups, 17-23ct, 16, 11)"
"Save $0.50 on ONE Cascade Dishwasher Detergent, Rinse Aid OR Dishwasher Cleaner (excludes ActionPacs 30 ct or larger and trial/travel size).",$0.50,"(0.50, ONE, Dishwasher Cleaner, ActionPacs)"
Save $1.00 on TWO Mr Clean Products (excludes trial/travel size).,$1.00,"(1.00, TWO)"
Save $1.50 on any ONE (1) package of Huggies®‎LittleSwimmers®‎ Disposable Swimpants (10 ct. or larger),$1.50,"(1.50, ONE, 1, Huggies, 10)"
$.75 OFF Arm  &  Hammer Super Scoop Unscented Cat Litter 14 lbs. - When you clip the Family Dollar Smart Coupon.,$.75,()
Save $1.00 on any ONE (1) Meow Mix Dry Product 8.44 lbs or larger,$1.00,"(1.00, ONE, 1, 8.44)"
Save $1.00 on any ONE (1) Kibbles N Bits Dry Product 13 lbs or larger,$1.00,"(1.00, ONE, 1)"
Save $2.00 on ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,$2.00,"(2.00, ONE)"
Save $2.00 on ONE Dreft Newborn Laundry Detergent 50 oz OR Dreft Active Baby Laundry Detergent 50 oz (excludes trial/travel size).,$2.00,"(2.00, ONE, 50, 50)"
"Save $2.00 on ONE Tide Laundry Detergent 75 oz OR 69 oz (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"(2.00, ONE, 75, 69, Tide Purclean Laundry Detergent, Tide, Tide, Tide Simply PODS, Tide Detergent, 10)"
"Save $2.00 on ONE Tide PODS 31 ct OR 23 ct (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, Tide PODS 9 ct and below, and trial/travel size).",$2.00,"(2.00, ONE, 31, 23, Tide Liquid/Powder Laundry Detergent, Tide, Tide Simply PODS, Tide, 9)"
Save $3.00 on ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,"(3.00, ONE, Gillette, 2, Sensor 2, Venus Products)"
Save $3.00 on ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,"(3.00, ONE, Venus, 2, 2)"
"Save $1.00 on ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"(1.00, ONE Downy Liquid Fabric Conditioner, 48ld to 60ld, Downy Odor Protect, Downy Wrinkle Guard, Downy Nature Blends, 44, 60ct, 5.7, Downy Unstopables, Fresh Protect, Odor Protect, 3, 1, Downy Wrinkle Releaser Spray, Downy Libre)"
Save $1.00 on ONE Dreft Blissfuls In Wash Scent Boosters 5.7 oz (excludes trial/travel size).,$1.00,"(1.00, ONE, 5.7)"
Save $1.00 on ONE Bounty Paper Towel Product 4 ct or larger (includes Double Plus Roll).,$1.00,"(1.00, ONE, 4, Double Plus Roll)"
Save $0.25 on ONE Puffs Facial Tissues (including Multi-Packs) (excludes Puffs To Go Singles and trial/travel size).,$0.25,"(0.25, ONE, Multi-Packs)"
Save $1.00 on ONE Charmin Toilet Paper Product 4 ct or larger (excludes single rolls).,$1.00,"(1.00, ONE Charmin Toilet Paper Product, 4)"
Save $1.00 on ONE Prilosec OTC Product.,$1.00,"(1.00, ONE)"
"Save $1.00 on ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F & W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).",$1.00,"(1.00, ONE, Crest, 4.6, Crest Cavity, Tartar Control/Protection, F & W Pep Gleem, Gum Detoxify, Gum Enamel)"
"Save $1.00 on ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,"(1.00, ONE, Floss Picks, Interdental Brush OR Interdental Picks)"
Save $2.00 on ONE (1) Kingsford®  or Matchlight® Charcoal 8lbs,$2.00,"(2.00, ONE, 1, Kingsford, Matchlight)"
"SAVE $0.40 on any ONE (1) Lipton® TeaBags,K-Cup®, Liquid or Powdered Iced Tea Mix product.",$0.40,"(0.40, 1, Lipton, K-Cup)"
ONLY On Colgate Optic White Renewal Toothpaste (3.0 oz or larger),,"(Colgate Optic White Renewal Toothpaste, 3.0)"
"Save $1.00 off ONE (1) Banana Boat® Sun Care Product (excludes 1 oz., 1.8 oz., 2 oz., lip balm  &  trial sizes)",$1.00,"(1.00, ONE, 1, 1, 1.8, 2)"
"Save $2.00 on ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"(2.00, ONE, 1, PULL-UPS, Training Pants, 27)"
Save $0.50 on any one (1) pack of Energizer® Batteries,$0.50,"(0.50, one, 1, Energizer)"
"Save $1.00 on ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"(1.00, 12, 26, Gain Ultra Flings, Gain Fireworks, 9)"
