OfferDetails,FaceValue,Product
"Save $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"(1.00, 48, Gain Fireworks, Gain Dryer, Gain Flings, Gain Detergent)"
"$1.00 OFF on any ONE (1) Tillamook® Ice Cream Product, 56 oz.",$1.00,"(1.00, ONE, 1, 56)"
"Save $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,"(1.00, ONE, 1, BENADRYL, 20ct, 24ct, 4, trial &amp)"
"Save $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,"(Floss Picks, Interdental Brush OR Interdental Picks)"
"$1.00 OFF TWO (2) Atkins® Bars, Shakes or Treats",$1.00,"(1.00, 2, Atkins, Shakes, Treats)"
Save $1.00 ONE Prilosec OTC Product.,$1.00,()
"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",$0.75,"(0.75, ONE, 1, Lily)"
"Save $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",$1.00,"(1.00, 50, 75, Tide Detergent, Tide, Tide)"
Save $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,"(3.00, Venus, 2, 2)"
"Save $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,"(2.00, Tampax Pearl, Radiant OR PURE Tampons, 14)"
"Save $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",$4.00,"(4.00, ONE, 1, Adult ZYRTEC, 24-45ct, trial &amp)"
"Save $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",$2.00,"(Pure Cotton, Ultra, Maxi Pads, 10)"
"SAVE 55¢ on any ONE (1) OFF!® Product&nbsp;(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",55¢,"(1, Club Packs, Twin Packs, 2, 2.5oz)"
"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",$1.50,"(1.50, ONE, 1, Glade, 3-Wick, Candles, Pack 3.4oz Candles, Oil Refill Pack, 1, Candles, PlugIns)"
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,$4.00,"(4.00, ONE, 1) 12ct, SHEBA, PORTIONS)"
"Save $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",$3.00,"(3.00, Gum Detoxify, Enamel Repair, Gum &amp, Sensitivity, 3.0)"
"Get $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"(2.00, 1, PULL-UPS, Training Pants, 27)"
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",$4.00,"(4.00, ONE, 1, Allegra, 24ct, Allegra-D®, Children's Allegra)"
"Save $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$2.00,"(2.00, 30, Gain Ultra, 18, Gain Liquid/Powder Laundry Detergent, Gain Fireworks, 9)"
"Save $2.00 ONE Tide Purclean Laundry Detergent (excludes Studio by Tide Laundry Detergent, Tide Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"(2.00, Tide, Tide, Tide, Tide, 10)"
"$2.00 OFF ONE (1) Starbucks® K-Cup® Coffee with Essential Vitamins, Coffee with Golden Turmeric, or Coffee with 2X Caffeine Product",$2.00,"(2.00, 1, Essential Vitamins, 2X, Caffeine Product)"
"Save $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",$5.00,"(5.00, 1, Claritin, 55ct, 60ct)"
Save $2.00 ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,$2.00,()
Save $3.00 ONE (1) Nexium® 24HR 28ct or larger,$3.00,"(1, 24HR, 28ct)"
Save $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),$2.00,"(2.00, ONE, 1, Aleve, Aleve-D®)"
"Save $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",$2.00,()
$1.50 Off any ONE (1) Mighty Spark All-Natural Poultry Patties or Ground Chicken,$1.50,"(1.50, ONE, 1)"
Save $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),$1.50,"(1.50, ONE, 1, HUGGIES, 10)"
"Save $2.00 ONE Tide Antibacterial Spray (excludes Tide Stain Pen, Tide Rescue, Tide Laundry Detergent, Tide PODS and trial/travel size).",$2.00,"(2.00, Tide Antibacterial Spray, Tide Stain Pen, Tide)"
"Save $3.00 on any ONE (1) package of POISE® Ultra Thin Pads or Active Collection® Pads or Liners (Reg Pack only) (Not valid on other Poise® Pads, Liners or Impressa® Products)",$3.00,"(3.00, ONE, 1, POISE, Ultra Thin Pads, Poise, Impressa)"
Get $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),$3.00,"(3.00, 1, Box, PULL-UPS, 40)"
Save $2.00 ONE Venus Razor (excludes disposables).,$2.00,"(2.00, Venus Razor)"
"Save $1.00 ONE Tide Simply PODS 20 ct or larger (excludes Tide detergent, Tide Simply Detergent, Tide PODS, and trial/travel size)",$1.00,"(1.00, Tide Simply, 20, Tide, Tide Simply Detergent, Tide)"
Save $8.00 on ONE (1) Claritin® Tabs or Liqui-Gels® 60ct or larger,$8.00,"(8.00, 1, Liqui-Gels, 60ct)"
SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),$3.00,"(3.00, Colgate, Renewal Toothpaste, 3.0 oz)"
SAVE $0.75 on ONE (1) Sabra® Dark Chocolate Dessert Dip &amp; Spread,$0.75,"(0.75, ONE, 1, Dessert Dip &amp)"
$1.50 OFF on ONE (1) pint of N!ck's Ice Cream,$1.50,"(1.50, ONE, 1, N!ck, Ice Cream)"
Save $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,$3.00,"(3.00, ONE, 1, Children's Claritin, 4)"
SAVE 55¢ on any ONE (1) Raid® Essential Oils Product&nbsp;(Excludes Raid® Club Packs and Twin Packs),55¢,"(1, Essential Oils, Raid, Twin Packs)"
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),$5.00,"(5.00, ONE, 1, Osteo Bi-Flex, 28ct)"
Save $3.00 ONE Always DISCREET Boutique Product (excludes other Always Products and trial/travel size).,$3.00,()
SAVE $0.75 on ONE (1) Sabra® Veggie Dip,$0.75,"(0.75, ONE, 1)"
SAVE $3.00 on any ONE (1) Florastor product,$3.00,"(3.00, ONE, 1)"
$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,$1.00,"(1.00, ONE, 1, Reser, 12)"
"Save $5.00 on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",$5.00,"(5.00, 1)"
Save $5.00 ONE Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,()
"Save $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,"(Olay Facial Moisturizer, Serums, Complete, Active Hydrating)"
Save $1.00 ONE Burts Bees Adult Toothpaste (excludes trial/travel size).,$1.00,"(1.00, Adult Toothpaste)"
Save $4.00 ONE Venus Blade Refill (4 ct or larger).,$4.00,"(4,)"
"Save $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",$1.00,"(1.00,)"
Save $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,$2.00,"(2.00, Olay Facial Cleanser)"
Save $0.75 ONE Burts Bees Kids Toothpaste (excludes trial/travel size).,$0.75,"(0.75,)"
Save $4.00 ONE Gillette Blade Refill (4 ct or larger).,$4.00,"(Gillette Blade Refill, 4)"
Save $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,"(3.00, Gillette, 2, Sensor 2, Venus Products)"
"Save $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,"(2.00, Gillette Razor, Disposables, Venus Products)"
"$5 1 Hot Bar Entree, 2 Sides, 1 Roll",$5,"($5 1, 2, 1)"
SAVE $1.00 on any TWO (2) Sargento® Natural Cheese Slices,$1.00,"(1.00, TWO, 2, Sargento)"
SAVE $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,$0.50,"(0.50, ONE, 1, Pace, Picante Sauce)"
FREE SEG MAC & CHEESE when you buy any two (2) SPAM® 12oz products and get TWO (2) FREE SEG MAC &amp; CHEESE (Max. Value $1.50),$1.50,"(SEG MAC & CHEESE, two, 2, SPAM, 12, TWO, 2, SEG MAC &amp, CHEESE, Max, 1.50)"
